ZONE I=40, J=105
0.652714 0.652714 0.0800733 -0.16528
0.670845 0.670845 0.0842782 -0.174285
0.688976 0.688976 0.0885643 -0.183502
0.707107 0.707107 0.0929289 -0.192929
0 0 0 0
0.0170031 0.0191926 6.57442e-05 -0.00013149
0.0340063 0.0383852 0.000262953 -0.000525938
0.0510094 0.0575777 0.000591553 -0.00118327
0.0680126 0.0767703 0.00105143 -0.00210336
0.0850157 0.0959629 0.0016424 -0.00328606
0.102019 0.115155 0.00236426 -0.00473112
0.119022 0.134348 0.00321674 -0.00643831
0.136025 0.153541 0.00419953 -0.00840729
0.153028 0.172733 0.00531226 -0.0106377
0.170031 0.191926 0.00655453 -0.0131292
0.187035 0.211118 0.00792588 -0.0158812
0.204038 0.230311 0.0094258 -0.0188933
0.221041 0.249504 0.0110537 -0.0221648
0.238044 0.268696 0.0128091 -0.0256953
0.255047 0.287889 0.0146912 -0.0294841
0.27205 0.307081 0.0166994 -0.0335304
0.289053 0.326274 0.0188329 -0.0378335
0.306057 0.345466 0.0210909 -0.0423927
0.32306 0.364659 0.0234726 -0.047207
0.340063 0.383852 0.0259771 -0.0522756
0.357066 0.403044 0.0286034 -0.0575975
0.374069 0.422237 0.0313506 -0.0631718
0.391072 0.441429 0.0342176 -0.0689974
0.408075 0.460622 0.0372034 -0.0750732
0.425079 0.479815 0.0403067 -0.0813981
0.442082 0.499007 0.0435265 -0.0879709
0.459085 0.5182 0.0468614 -0.0947904
0.476088 0.537392 0.0503103 -0.101855
0.493091 0.556585 0.0538718 -0.109164
0.510094 0.575777 0.0575445 -0.116716
0.527097 0.59497 0.061327 -0.124509
0.544101 0.614163 0.0652178 -0.132542
0.561104 0.633355 0.0692154 -0.140813
0.578107 0.652548 0.0733182 -0.149321
0.59511 0.67174 0.0775247 -0.158064
0.612113 0.690933 0.0818331 -0.16704
0.629116 0.710126 0.0862418 -0.176248
0.64612 0.729318 0.0907489 -0.185686
0.663123 0.748511 0.0953528 -0.195353
0 0 0 0
0.0158133 0.0201842 6.57454e-05 -0.000131492
0.0316266 0.0403684 0.000262972 -0.000525957
0.0474399 0.0605526 0.000591653 -0.00118337
0.0632532 0.0807368 0.00105174 -0.00210368
0.0790665 0.100921 0.00164317 -0.00328682
0.0948798 0.121105 0.00236585 -0.00473272
0.110693 0.141289 0.00321969 -0.00644126
0.126506 0.161474 0.00420457 -0.00841232
0.14232 0.181658 0.00532033 -0.0106458
0.158133 0.201842 0.00656683 -0.0131415
0.173946 0.222026 0.00794388 -0.0158992
0.18976 0.24221 0.0094513 -0.0189188
0.205573 0.262394 0.0110889 -0.0222
0.221386 0.282579 0.0128563 -0.0257426
0.2372 0.302763 0.0147535 -0.0295464
0.253013 0.322947 0.01678 -0.033611
0.268826 0.343131 0.0189356 -0.0379362
0.284639 0.363315 0.02122 -0.0425218
0.300453 0.3835 0.0236328 -0.0473672
